year,stat,player,team,value,link
1953,Team [Click for roster],Wins,Losses,WP,
1953,New York Yankees,99,52,.656,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=NYA
1953,Cleveland Indians,92,62,.597,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=CLE
1953,Chicago White Sox,89,65,.578,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=CHA
1953,Boston Red Sox,84,69,.549,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=BOS
1953,Washington Senators,76,76,.500,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=WS1
1953,Detroit Tigers,60,94,.390,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=DET
1953,Philadelphia Athletics,59,95,.383,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=PHA
1953,St. Louis Browns,54,100,.351,https://www.baseball-almanac.com/teamstats/roster.php?y=1953&t=SLA
1954,Statistic,Name(s),Team(s),#,
1954,Base on Balls,Ted Williams,Boston,136,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1954,Batting Average,Bobby Avila,Cleveland,.341,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1954,Doubles,Mickey Vernon,Washington,33,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1954,Hits,Nellie Fox,Chicago,201,https://www.baseball-almanac.com/hitting/hihits4.shtml
1954,Home Runs,Larry Doby,Cleveland,32,https://www.baseball-almanac.com/hitting/hihr5.shtml
1954,On Base Percentage,Ted Williams,Boston,.516,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1954,RBI,Larry Doby,Cleveland,126,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1954,Runs,Mickey Mantle,New York,129,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1954,Slugging Average,Minnie Minoso,Chicago,.535,https://www.baseball-almanac.com/hitting/hislug4.shtml
1954,Stolen Bases,Jackie Jensen,Boston,22,https://www.baseball-almanac.com/hitting/hisb4.shtml
1954,Total Bases,Minnie Minoso,Chicago,304,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1954,Triples,Minnie Minoso,Chicago,18,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1954,Statistic,Name(s),Team(s),#,
1954,Statistic,Name(s),Team(s),#,
1954,Complete Games,Bob Lemon,Cleveland,21,https://www.baseball-almanac.com/pitching/picomg4.shtml
1954,ERA,Mike Garcia,Cleveland,2.64,https://www.baseball-almanac.com/pitching/piera4.shtml
1954,Games,Sonny Dixon,Washington,54,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1954,Saves,Johnny Sain,New York,22,https://www.baseball-almanac.com/pitching/pisave4.shtml
1954,Shutouts,Mike Garcia,Cleveland,5,https://www.baseball-almanac.com/pitching/pishut4.shtml
1954,Strikeouts,Bob Turley,Baltimore,185,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1954,Winning Percentage,Sandy Consuegra,Chicago,.842,https://www.baseball-almanac.com/pitching/piwper4.shtml
1954,Wins,Bob Lemon,Cleveland,23,https://www.baseball-almanac.com/pitching/piwins4.shtml
1954,Statistic,Name(s),Team(s),#,
1954,Team [Click for roster],Wins,Losses,WP,
1954,Cleveland Indians,111,43,.721,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=CLE
1954,New York Yankees,103,51,.669,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=NYA
1954,Chicago White Sox,94,60,.610,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=CHA
1954,Boston Red Sox,69,85,.448,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=BOS
1954,Detroit Tigers,68,86,.442,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=DET
1954,Washington Senators,66,88,.429,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=WS1
1954,Baltimore Orioles,54,100,.351,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=BAL
1954,Philadelphia Athletics,51,103,.331,https://www.baseball-almanac.com/teamstats/roster.php?y=1954&t=PHA
1955,Statistic,Name(s),Team(s),#,
1955,Base on Balls,Mickey Mantle,New York,113,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1955,Batting Average,Al Kaline,Detroit,.340,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1955,Doubles,Harvey Kuenn,Detroit,38,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1955,Hits,Al Kaline,Detroit,200,https://www.baseball-almanac.com/hitting/hihits4.shtml
1955,Home Runs,Mickey Mantle,New York,37,https://www.baseball-almanac.com/hitting/hihr5.shtml
1955,On Base Percentage,Mickey Mantle,New York,.433,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1955,RBI,Ray Boone,Detroit,116,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1955,Runs,Al Smith,Cleveland,123,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1955,Slugging Average,Mickey Mantle,New York,.611,https://www.baseball-almanac.com/hitting/hislug4.shtml
1955,Stolen Bases,Jim Rivera,Chicago,25,https://www.baseball-almanac.com/hitting/hisb4.shtml
1955,Total Bases,Al Kaline,Detroit,321,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1955,Triples,Mickey Mantle,New York,11,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1955,Statistic,Name(s),Team(s),#,
1955,Statistic,Name(s),Team(s),#,
1955,Complete Games,Whitey Ford,New York,18,https://www.baseball-almanac.com/pitching/picomg4.shtml
1955,ERA,Billy Pierce,Chicago,1.97,https://www.baseball-almanac.com/pitching/piera4.shtml
1955,Games,Ray Narleski,Cleveland,60,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1955,Saves,Ray Narleski,Cleveland,19,https://www.baseball-almanac.com/pitching/pisave4.shtml
1955,Shutouts,Billy Hoeft,Detroit,7,https://www.baseball-almanac.com/pitching/pishut4.shtml
1955,Strikeouts,Herb Score,Cleveland,245,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1955,Winning Percentage,Tommy Byrne,New York,.762,https://www.baseball-almanac.com/pitching/piwper4.shtml
1955,Wins,Whitey Ford,New York,18,https://www.baseball-almanac.com/pitching/piwins4.shtml
1955,Statistic,Name(s),Team(s),#,
1955,Team | Roster,W,L,WP,
1955,New York Yankees,96,58,.623,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=NYA
1955,Cleveland Indians,93,61,.604,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=CLE
1955,Chicago White Sox,91,63,.591,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=CHA
1955,Boston Red Sox,84,70,.545,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=BOS
1955,Detroit Tigers,79,75,.513,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=DET
1955,Kansas City Athletics,63,91,.409,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=KC1
1955,Baltimore Orioles,57,97,.370,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=BAL
1955,Washington Senators,53,101,.344,https://www.baseball-almanac.com/teamstats/roster.php?y=1955&t=WS1
1955,Team | Roster,W,L,WP,
1956,Statistic,Name(s),Team(s),#,
1956,Base on Balls,Eddie Yost,Washington,151,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1956,Batting Average,Mickey Mantle,New York,.353,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1956,Doubles,Jim Piersall,Boston,40,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1956,Hits,Harvey Kuenn,Detroit,196,https://www.baseball-almanac.com/hitting/hihits4.shtml
1956,Home Runs,Mickey Mantle,New York,52,https://www.baseball-almanac.com/hitting/hihr5.shtml
1956,On Base Percentage,Ted Williams,Boston,.479,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1956,RBI,Mickey Mantle,New York,130,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1956,Runs,Mickey Mantle,New York,132,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1956,Slugging Average,Mickey Mantle,New York,.705,https://www.baseball-almanac.com/hitting/hislug4.shtml
1956,Stolen Bases,Luis Aparacio,Chicago,21,https://www.baseball-almanac.com/hitting/hisb4.shtml
1956,Total Bases,Mickey Mantle,New York,376,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1956,Triples,Jackie Jensen,Boston,11,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1956,Statistic,Name(s),Team(s),#,
1956,Statistic,Name(s),Team(s),#,
1956,Complete Games,Bob Lemon,Cleveland,21,https://www.baseball-almanac.com/pitching/picomg4.shtml
1956,ERA,Whitey Ford,New York,2.47,https://www.baseball-almanac.com/pitching/piera4.shtml
1956,Games,George Zuverink,Baltimore,62,https://www.baseball-almanac.com/pitching/pigamp4.shtml
1956,Saves,George Zuverink,Baltimore,16,https://www.baseball-almanac.com/pitching/pisave4.shtml
1956,Shutouts,Herb Score,Cleveland,5,https://www.baseball-almanac.com/pitching/pishut4.shtml
